ident,PNs,Date,Quantity,Material,Bought Out,Sub-Con,Machining,Fabrication,Test & Assy,Margin,Unit Cost,Total Unit Sell - No Spares,Total Ext Sell - No Spares,Spare PNs,Total Ext Sell - Spares,Total Unit Sell,Total Ext Sell,Excel Name,Customer,Item Number,Deal Machine ID
Apache FCM EUK 1647999 Tubing Hgrs Rev 2.xlsx - 1,D70884-1REF,2017-09-11,2,,19990.64,808.06,,,,0.37,20798.7,32949.18,65898.36,[],0.0,32949.18,65898.36,Apache FCM EUK 1647999 Tubing Hgrs Rev 2.xlsx,Apache,1,
Apache FCM EUK 1647999 Tubing Hgrs Rev 2.xlsx - 2,D70884-1REF,2017-09-11,3,,20026.8,808.06,,,,0.33,20834.86,31301.72,93905.16,[],0.0,31301.72,93905.16,Apache FCM EUK 1647999 Tubing Hgrs Rev 2.xlsx,Apache,2,
Apache FCM EUK 1759189 Tubing Hgrs Rev 1.xlsx - 1,D70884-1REF,2017-09-20,2,,19426.75,784.12,77.5,,,0.38,20288.37,32949.18,65898.36,[],0.0,32949.18,65898.36,Apache FCM EUK 1759189 Tubing Hgrs Rev 1.xlsx,Apache,1,
Apache FCM EUK 1759189 Tubing Hgrs Rev 1.xlsx - 2,D70884-1REF,2017-09-20,3,,19462.92,784.12,51.67,,,0.35,20298.7,31301.72,93905.16,[],0.0,31301.72,93905.16,Apache FCM EUK 1759189 Tubing Hgrs Rev 1.xlsx,Apache,2,
Apache FCM EUK 1759189 Tubing Hgrs Rev 1.xlsx - 1,D70884-1REF,2017-09-20,2,,19426.75,784.12,77.5,,,0.38,20288.37,32949.18,65898.36,[],0.0,32949.18,65898.36,Apache FCM EUK 1759189 Tubing Hgrs Rev 1.xlsx,Apache,1,
Apache FCM EUK 1759189 Tubing Hgrs Rev 1.xlsx - 2,D70884-1REF,2017-09-20,3,,19462.92,784.12,51.67,,,0.35,20298.7,31301.72,93905.16,[],0.0,31301.72,93905.16,Apache FCM EUK 1759189 Tubing Hgrs Rev 1.xlsx,Apache,2,
Apache EUK 1782457 FCM Rev 00.xlsx - 1,A292404-1REF,2018-01-22,3,,258435.69,,,,,0.22,258435.69,331327.81,993983.44,[],0.0,331327.81,993983.44,Apache EUK 1782457 FCM Rev 00.xlsx,Apache,1,EUK 1782457
EUK 1783368 Rev 0.xlsx - 1,391144REF,2017-11-20,1,,11340.96,750.0,155.0,,,0.25,12245.96,16327.95,16327.95,[],0.0,16327.95,16327.95,EUK 1783368 Rev 0.xlsx,Apache,1,
EUK 1783368 Rev 0.xlsx - 2,H301320-12,2017-11-20,2,,75.54,,,,,0.25,75.54,100.72,201.44,[],0.0,100.72,201.44,EUK 1783368 Rev 0.xlsx,Apache,2,
EUK 1783368 Rev 1.xlsx - 1,368457REF,2017-12-05,4,,1749.0,,,,,0.4,1749.0,2915.0,11660.0,[],0.0,2915.0,11660.0,EUK 1783368 Rev 1.xlsx,Apache,1,
